City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Akdepe,TM,42.0551,59.3788,80.69,25,0,5.95,clear sky
328,Gizel,RU,43.04,44.5708,62.82,94,100,6.71,overcast clouds
329,Vila Velha,BR,-20.3297,-40.2925,69.94,93,0,3.44,clear sky
330,Pangody,RU,65.85,74.4859,63.09,51,14,13.18,few clouds
331,Havelock,US,34.8791,-76.9013,82.35,90,19,5.01,few clouds
332,Port Blair,IN,11.6667,92.75,79.97,85,100,14.09,moderate rain
333,Yarada,IN,17.65,83.2667,84.38,76,100,12.95,overcast clouds
334,Kloulklubed,PW,7.0419,134.2556,79.3,74,100,3.76,heavy intensity rain
335,Kaeo,NZ,-35.1,173.7833,61.68,74,48,10.71,scattered clouds
336,Touros,BR,-5.1989,-35.4608,72.91,87,2,13.47,clear sky
337,Mosquera,CO,4.7059,-74.2302,55.49,82,20,4.61,few clouds
338,Witu,KE,-2.3889,40.4382,73.56,78,84,11.72,broken clouds
339,Lahij,YE,13.1667,44.5833,83.48,54,100,3.27,overcast clouds
340,Tual,ID,-5.6667,132.75,79.77,81,35,19.48,scattered clouds
341,Igarka,RU,67.4667,86.5833,50.47,74,98,13.13,overcast clouds
342,Najran,SA,17.4924,44.1277,79.45,41,100,7.34,overcast clouds
343,Tahta,EG,26.7693,31.5021,84.63,25,0,7.38,clear sky
344,Saskylakh,RU,71.9167,114.0833,44.17,61,100,15.39,overcast clouds
345,Ijero,NG,6.4819,3.3803,76.86,74,26,10.85,scattered clouds
346,Omboue,GA,-1.5746,9.2618,72.1,90,100,5.84,overcast clouds
